Dia,N,I&S,I&E,Muertos,S
0,18000,150,0,0,17850
1,18000,150,0,0,17850
2,18000,159,43,0,17798
3,18000,190,95,0,17715
4,18000,263,136,0,17601
5,18000,372,150,0,17478
6,18000,482,202,0,17316
7,18000,678,278,0,17044
8,18000,925,337,0,16738
9,17999,1169,458,1,16372
10,17996,1496,618,4,15882
11,17989,1934,813,11,15242
12,17982,2477,1063,18,14442
13,17971,3156,1350,29,13465
14,17955,3875,1736,45,12344
15,17927,4777,2151,73,10999
16,17905,5694,2652,95,9559
17,17876,6558,3315,124,8003
18,17842,7447,3979,158,6416
19,17785,8145,4717,215,4923
20,17720,8856,5275,280,3589
21,17614,9292,5824,386,2498
22,17492,9520,6274,508,1698
23,17358,9672,6512,642,1174
24,17199,9974,6462,801,763
25,16999,10237,6258,1001,504
26,16762,10551,5863,1238,348
27,16476,10715,5517,1524,244
28,16159,10871,5107,1841,181
29,15830,10959,4746,2170,125
30,15510,10999,4418,2490,93
31,15167,10921,4183,2833,63
32,14813,10762,4000,3187,51
33,14498,10623,3839,3502,36
34,14236,10407,3807,3764,22
35,13962,10269,3677,4038,16
36,13706,10082,3612,4294,12
37,13468,9920,3539,4532,9
38,13239,9805,3427,4761,7
39,13023,9654,3365,4977,4
40,12822,9483,3336,5178,3
41,12634,9423,3209,5366,2
42,12455,9237,3216,5545,2
43,12270,9116,3154,5730,0
44,12087,8978,3109,5913,0
45,11896,8820,3076,6104,0
46,11714,8707,3007,6286,0
47,11561,8524,3037,6439,0
48,11378,8385,2993,6622,0
49,11213,8285,2928,6787,0
50,11066,8230,2836,6934,0
51,10895,8133,2762,7105,0
52,10741,8049,2692,7259,0
53,10569,7923,2646,7431,0
54,10415,7842,2573,7585,0
55,10258,7695,2563,7742,0
56,10065,7510,2555,7935,0
57,9920,7397,2523,8080,0
58,9789,7270,2519,8211,0
59,9679,7193,2486,8321,0
60,9551,7070,2481,8449,0
61,9419,7008,2411,8581,0
62,9293,6904,2389,8707,0
63,9129,6807,2322,8871,0
64,8980,6688,2292,9020,0
65,8848,6607,2241,9152,0
66,8722,6525,2197,9278,0
67,8603,6412,2191,9397,0
68,8474,6342,2132,9526,0
69,8360,6287,2073,9640,0
70,8249,6186,2063,9751,0
